number, first, last, party, 1-vPrezFirst, 1-vPrezLast, 2-vPrezFirst, 2-vPrezLast, 3-vPrezFirst, 3-vPrezLast, startYr, endYr,born,died,stateBorn,spouse1,spouse2,spouse3,religion,education,occupation,nickName,1-mainOppFirst,1-mainOppLast,1-mainOppVPFirst,1-mainOppVPLast,2-mainOppFirst,2-mainOppLast,2-mainOppVPFirst,2-mainOppVPLast,3-mainOppFirst,3-mainOppLast,3-mainOppVPFirst,3-mainOppVPLast,deathCause,assissinationAttempt,attemptSuccessful,whoAttempted
1, George, Washington,no designation, John, Adams, , ,, ,1789,1797,2-22-1732,12-14-1799,Virginia,Martha,,,Episcopalian,no formal,Planter,Father of his country,,,,,,,,,,,,,acute epiglottitis,,,
2, John, Adams,Federalist, Thomas, Jefferson, , ,, ,1797,1801,10-30-1735,7-4-1826,Massachussetts,Abigail,,,Unitarian,Harvard,Lawyer,Atlas of Independence,Thomas,Jefferson,,,,,,,,,,,heart failure,,,
3, Thomas, Jefferson,Dem-Rep, Aaron, Burr, George, Clinton,, ,1801,1809,4-13-1743,7-4-1826,Virginia,Martha,,,no affiliation,College of William and Mary,Lawer,Man of the People,Aaron,Burr,,,Charles,Pinckney,Rufus,King,,,,,kidney damage,,,
4, James, Madison,Dem-Rep, George, Clinton, Elbridge, Gerry,, ,1809,1817,3-16-1751,6-28-1836,Virginia,Dolley,,,Episcopalian,College of New Jersey,Lawyer,Father of the Constitution,Charles,Pinckney,Rufus,King,De Witt,Clinton,Jared,Ingersoll,,,,,heart failure,,,
5, James, Monroe,Dem-Rep, Daniel, Tompkins, , ,, ,1817,1825,4-28-1758,7-4-1831,Virginia,Elizabeth,,,Episcopalian,College of William and Mary,Lawyer,Era-of-Good-Feeling President,Rufus,King,,,John Quincy,Adams,,,,,,,tuberculosis,,,
6, John Quincy, Adams,Dem-Rep, John, Calhoun, , ,, ,1825,1829,7-11-1767,2-23-1848,Massachusetts,Louisa,,,Unitarian,Harvard College,Lawyer,Old Man Eloquent,Andrew,Jackson,,,,,,,,,,,stroke,,,
7, Andrew, Jackson,Democratic, John, Calhoun, Martin, Van Buren,, ,1829,1837,3-15-1767,6-8-1845,North Carolina,Elizabeth,,,Presbyterian,No formal education,"Lawyer, Soldier",Old Hickery,John Quincy,Adams,Richard,Rush,Henry,Clay,John,Sergeant,,,,,heart failure,TRUE,FALSE,Richard Lawrence
8, Martin, Van Buren,Democratic, Richard, Johnson, , ,, ,1837,1841,12-5-1782,7-24-1862,New York,Hannah ,,,Dutch Reformed,Kinderhook Achademy,Lawyer,The Little Magician,William Henry,Harrison,,,,,,,,,,,asthma,,,
9, William Henry, Harrison,Whig, John, Tyler, , ,, ,1841,1841,2-9-1773,4-4-1841,Virginia,Anna,,,Episcopalian,Hampden-Sydney College,Soldier,Old Tippercanoe,Martin,Van Buren,,,,,,,,,,,enteric fever,,,
10, John, Tyler,Whig, , , , ,, ,1841,1845,3-29-1790,1-28-1862,Virginia,Letitia,Julia,,Episcopalian,College of William and Mary,Lawyer,Accidental President,,,,,,,,,,,,,stroke,,,
11, James, Polk,Democratic, George, Dallas, , ,, ,1845,1849,11-2-1795,6-15-1849,North Carolina,Sarah,,,Presbyterian,University of North Carolina,Lawyer,Young Hickory,Henry,Clay,George,Dallas,,,,,,,,,cholera,,,
12, Zachary, Taylor,Whig, Millard, Fillmore,,,, ,1849,1850,11-24-1784,7-9-1850,Virginia,Margaret,,,Episcopalian,No formal education,Soldier,Old Rough And Ready,Lewis,Cass,WO,Butler,,,,,,,,,gastroenteritis,,,
13, Millard, Fillmore,Whig, , , , ,, ,1850,1853,1-7-1800,3-8-1874,New York,Abigail,,,Unitarian,No formal education,Laywer,The American Louis Phillippe,,,,,,,,,,,,,stroke,,,
14, Franklin, Pierce,Democratic, William, King, , ,, ,1853,1857,11-23-1804,10-8-1869,New Hampshire,Jane,,,Episcopalian,Bowdoin College,Lawyer,Young Hickory of the Granite Hills,Winfield,Scott,William,Graham,,,,,,,,,inflammation,,,
15, James, Buchanan,Democratic, John, Breckinridge,,,, ,1857,1861,4-23-1791,6-1-1868,Pensylvania,,,,Presbyterian,Dickinson College,Lawyer,Old Buck,John,Fremont,William,Dayton,,,,,,,,,respiratory failure,,,
16, Abraham, Lincoln,Union, Hannibel, Hamlin, Andrew, Johnson,, ,1861,1865,2-12-1809,4-15-1865,Kentucky,Mary,,,No formal affilation,No formal education,Lawyer,Honest Abe,John,Breckinridge,Joseph,Lane,George,McClellan,George,Pendleton,,,,,gunshot wound,TRUE,TRUE,John Wilkes Booth
17, Andrew, Johnson,Union, , , , ,, ,1865,1869,12-29-1808,7-31-1875,North Carolina,Eliza,,,No formal affiliation,No formal education,Tailor,None,,,,,,,,,,,,,stroke,,,
18, Ulysses, Grant,Republican, Schuyler, Colfax, Henry, Wilson,, ,1869,1877,4-27-1822,7-23-1885,Ohio,Julia,,,Methodist,West Point,Soldier,Hero of Appomattox,Horatio,Seymour,Francis,Blair,Horace,Greeley,,,,,,,throat cancer,,,
19, Rutherford, Hayes,Republican, William, Wheeler, , ,, ,1877,1881,10-4-1822,1-17-1893,Ohio,Lucy,,,no formal affiliation,Harvard Law School,Lawyer,Dark-Horse President,Samuel,Tilden,Thomas,Hendricks,,,,,,,,,heart disease,,,
20, James, Garfield,Republican, Chester, Arthur, , ,, ,1881,1881,11-19-1831,9-19-1881,Ohio,Lucretia,,,Disciples of Christ,Williams College,Teacher,None,Winfield,Hancock,William,English,,,,,,,,,gunshot wound septic shock,TRUE,TRUE,Charles Guiteau
21, Chester, Arthur,Republican, , , , ,, ,1881,1885,10-5-1829,11-18-1886,Vermont,Ellen,,,Episcopalian,Union College,Lawyer,Elegant Arthur,,,,,,,,,,,,,stroke,,,
22, Stephen Grover, Cleveland,Democratic, Thomas, Hendricks, , ,, ,1885,1889,3-18-1837,6/24/1908,New Jersey,Frances,,,Presbyterian,No formal education,Lawyer,Veto President,James,Blaine,John,Logan,,,,,,,,,coronary sclerosis,,,
23, Benjamin, Harrison,Republican, Levi, Morton, , ,, ,1889,1893,8-20-1833,3/13/1901,Ohio,Caroline,Mary,,Presbyterian,Oxford,Lawyer,Kid Gloves Harrison,Grover,Cleveland,Allen,Thurman,,,,,,,,,pneumonia,,,
24, Stephen Grover, Cleveland,Democratic, Adlai, Stevenson, , ,, ,1893,1897,3-18-1837,6/24/1908,New Jersey,Frances,,,Presbyterian,No formal education,Lawyer,Veto President,Benjamin,Harrison,Whitelaw,Reid,,,,,,,,,coronary sclerosis,,,
25, William, Mckinley,Republican, Garret, Hobart, Theodore, Roosevelt,, ,1897,1901,1-29-1843,9/14/1901,Ohio,Ida,,,Methodist,Allegheny College,Lawyer,Idol of Ohio,William,Bryan,Arthur,Sewall,William,Bryan,Adlai,Stevenson,,,,,gunshot wound gangrene,TRUE,TRUE,Leon Czolgosz
26, Theodore, Roosevelt,Republican, Charles, Fairbanks, , ,, ,1901,1909,10-27-1858,1/6/1919,New York,Alice,Edith,,Dutch Reformed,Harvard,Lawyer,Teddy,Alton,Parker,Charles,Fairbanks,,,,,,,,,coronary occlusion,TRUE,FALSE,John Flammang Schrank
27, William, Taft,Republican, James, Sherman, , ,, ,1909,1913,9-15-1857,3/8/1930,Ohio,Helen,,,Unitarian,Cincinnati Law School,Lawyer,none,William,Bryan,John,Kern,,,,,,,,,heart disease,TRUE,FALSE,unnamed
